Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Now Go: On Grief and Studio Ghibli,Karl Thomas Smith,"",9781912489589,paperback,to-read,2024/01/14,"","",0,"",,,,,,,,,"",,"",No
Panenka,Rónán Hession,"",9781910422670,hardcover,to-read,2024/07/29,"","",0,"",,,,,,,,,"",,"",No
"Lore Olympus, Season 1",Rachel Smythe,"","",digital,read,2021/03/16,"","",1,"",,,,,,,5.0,,"",,"",No
Intermezzo,Sally Rooney,"",9780571365463,hardcover,read,2024/09/21,2025/01/18,2025/01/01-2025/01/18,1,emotional,,Character,"","","","",4.0,"","","","",Yes
The Alchemist,Paulo Coelho,Alan R. Clarke (Translator),9780062315007,paperback,read,2021/03/16,"","",1,"",,,,,,,2.0,,"",,"",No
To the Lighthouse,Virginia Woolf,Eudora Welty (Contributor),9780156907392,paperback,to-read,2024/07/30,"","",0,"",,,,,,,,,"",,"",No
Tokyo Ever After,Emiko Jean,"",9781250818317,paperback,read,2021/08/03,2022/06/30,2022/06/30-2022/06/30,2,"",,,,,,,,,"",,"",No
Beartown,Fredrik Backman,Neil Smith (Translator),9781405930208,paperback,read,2022/12/27,2022/12/27,2022/12/23-2022/12/27,1,"",,,,,,,,,"",,"",No
Dune,Frank Herbert,"",9780593099322,hardcover,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
Paladin's Grace,T. Kingfisher,"",9781393557159,digital,read,2024/05/03,2024/05/03,2024/04/23-2024/05/03,1,"",,,,,,,,,"",,"",No
Emergency Contact,Mary H.K. Choi,"",9781534408968,hardcover,to-read,2022/06/05,"","",0,"",,,,,,,,,"",,"",No
Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,"",9780544668256,hardcover,to-read,2022/02/21,"","",0,"",,,,,,,,,"",,"",No
I'm Thinking of Ending Things,Iain Reid,"","",digital,to-read,2022/02/04,"","",0,"",,,,,,,,,"",,"",No
Assembly,Natasha Brown,"",9780241515709,hardcover,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
The Overstory,Richard Powers,"",9780393356687,paperback,read,2024/12/01,2024/12/01,2024/10/10-2024/12/01,1,"",,,,,,,,,"",,"",No
Never Let Me Go,Kazuo Ishiguro,"",9781400078776,paperback,read,2022/02/25,2023/08/15,2022/05/08-2023/08/15,1,"",,,,,,,,,"",,"",No
Stoner,John Williams,John McGahern (Contributor),9781590171998,paperback,to-read,2024/07/29,"","",0,"",,,,,,,,,"",,"",No
Dirk Gently's Holistic Detective Agency,Douglas Adams,"",9780671746728,paperback,to-read,2022/01/21,"","",0,"",,,,,,,,,"",,"",No
Cat's Cradle,Kurt Vonnegut,"",9780140285604,paperback,read,2021/12/28,"","",1,"",,,,,,,,,"",,"",No
Convenience Store Woman,Sayaka Murata,Ginny Tapley Takemori (Translator),9781846276859,digital,to-read,2021/08/06,"","",0,"",,,,,,,,,"",,"",No
"Saga, Vol. 1",Brian K. Vaughan,Fiona Staples (Illustrator),9781607066019,paperback,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
Nothing to See Here,Kevin Wilson,"",9780062913487,digital,read,2025/04/22,2025/04/22,2025/04/22-2025/04/22,1,"mysterious, inspiring",medium,"","","","","",5.0,"","","","",No
If an Egyptian Cannot Speak English,Noor Naga,"",9781644450819,paperback,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
My Brilliant Friend,Elena Ferrante,Ann Goldstein (Translator),9781609450786,paperback,to-read,2025/03/02,"","",0,"",,,,,,,,,"",,"",No
The Assassination of Brangwain Spurge,"Eugene Yelchin, M.T. Anderson",Eugene Yelchin (Illustrator),9780763698225,hardcover,read,2024/07/16,2024/07/16,2024/07/12-2024/07/16,1,"",,,,,,,,,"",,"",No
One Last Stop,Casey McQuiston,"",9781250244499,paperback,to-read,2021/08/09,"","",0,"",,,,,,,,,"",,"",No
Stardust,Neil Gaiman,"",9780061142024,paperback,read,2021/03/16,2021/03/19,2021/03/19,1,"",,,,,,,3.0,,"",,"",No
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781529029581,paperback,did-not-finish,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
The Argonauts,Maggie Nelson,"",9781555977078,hardcover,to-read,2024/08/02,"","",0,"",,,,,,,,,"",,"",No
Inkheart,Cornelia Funke,Anthea Bell (Translator),9780439709101,paperback,to-read,2023/12/03,"","",0,"",,,,,,,,,"",,"",No
The Great Gatsby,F. Scott Fitzgerald,"",9798745274824,paperback,read,2021/03/16,"","",1,"",,,,,,,4.0,,"",,"",No
Corsairs: Adiron,Ruby Dixon,"",B08R5WDMHF,digital,read,2024/03/10,2024/03/10,2024/03/10-2024/03/10,1,"",,"","","","","",,<div>I cannot believe I read this full book</div>,"","","",No
Year of Yes,Shonda Rhimes,"",9781471157325,paperback,read,2024/04/22,2024/04/22,2024/04/19-2024/04/22,1,"",,,,,,,,,"",,"",No
The Last Unicorn,Peter S. Beagle,"",0451450523,paperback,to-read,2021/03/24,"","",0,"",,,,,,,,,"",,"",No
Ella Minnow Pea,Mark Dunn,"",9780385722438,paperback,read,2024/06/21,2024/07/01,2024/06/16-2024/07/01,1,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,read,2021/03/16,"","",1,"",,,,,,,3.0,,"",,"",No
"Olive, Again",Elizabeth Strout,"",9780812996548,hardcover,to-read,2024/07/29,"","",0,"",,,,,,,,,"",,"",No
The Embodied Mind: Cognitive Science and Human Experience,Francisco J. Varela,"Eleanor Rosch, Evan Thompson",9780262720212,paperback,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
I'm a Fan,Sheena Patel,"",9781914236150,hardcover,read,2023/12/27,2024/06/24,2024/06/18-2024/06/24,1,"informative, reflective",slow,"","","","","",3.5,"","","","",No
A Short Stay in Hell,Steven L. Peck,"",9780983748427,paperback,currently-reading,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
Manhattan Beach,Jennifer Egan,"",9781476716732,hardcover,read,2024/07/08,2024/07/08,2024/07/03-2024/07/08,1,"",,"","","","","",3.75,"","","","",No
Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"",9780812994520,hardcover,to-read,2022/08/06,"","",0,"",,,,,,,,,"",,"",No
Signal to Noise,Silvia Moreno-Garcia,"","",digital,to-read,2022/01/28,"","",0,"",,,,,,,,,"",,"",No
Honey Girl,Morgan Rogers,York Whitaker (Narrator),9781488210754,audio,to-read,2021/03/21,"","",0,"",,,,,,,,,"",,"",No
Legends & Lattes,Travis Baldree,"",9798985663211,paperback,to-read,2022/06/26,"","",0,"",,,,,,,,,"",,"",No
The Answer You Are Looking For Is Yes,Olivie Blake,"",9780578662275,paperback,to-read,2023/08/09,"","",0,"",,,,,,,,,"",,"",No
On Earth We're Briefly Gorgeous,Ocean Vuong,"",9780525562023,hardcover,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
What is Not Yours is Not Yours,Helen Oyeyemi,"",9781594634635,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"",9780735220683,hardcover,read,2024/03/26,2024/03/26,2024/03/23-2024/03/26,1,"emotional, challenging, inspiring, adventurous",medium,Character,No,Yes,No,No,3.0,<div>Idk a little too idealistic and called me out too much&nbsp;</div>,"","","",No
My Year of Rest and Relaxation,Ottessa Moshfegh,"",9780525522133,paperback,read,2022/09/05,2024/05/30,2024/05/28-2024/05/30,1,"dark, reflective",slow,Character,No,No,No,Yes,3.0,"","","","",No
The Library at Mount Char,Scott Hawkins,"",9780553418620,paperback,to-read,2021/12/10,"","",0,"",,,,,,,,,"",,"",No
This Weightless World,Adam Soto,"",9781662600630,hardcover,to-read,2021/12/27,"","",0,"",,,,,,,,,"",,"",No
"Love, Theoretically",Ali Hazelwood,"",9781408725795,paperback,to-read,2024/07/30,"","",0,"",,,,,,,,,"",,"",No
Nausea,Jean-Paul Sartre,"Lloyd Alexander (Translator), H.P. van den Aardweg, Hayden Carruth (Contributor)",9780811201889,hardcover,to-read,2022/10/15,"","",0,"",,,,,,,,,"",,"",No
Slaughterhouse-Five,Kurt Vonnegut,"",9780385333849,paperback,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
Upstream: Selected Essays,Mary Oliver,"",9781594206702,hardcover,to-read,2021/09/29,"","",0,"",,,,,,,,,"",,"",No
A Darker Shade of Magic,V.E. Schwab,"",9780765376459,hardcover,to-read,2023/12/10,"","",0,"",,,,,,,,,"",,"",No
The Animators,Kayla Rae Whitaker,"",9780812989304,paperback,to-read,2024/01/09,"","",0,"",,,,,,,,,"",,"",No
Devotions: The Selected Poems of Mary Oliver,Mary Oliver,"",9780399563263,paperback,to-read,2025/01/05,"","",0,"",,,,,,,,,"",,"",No
Nettle & Bone,T. Kingfisher,"",9781250244048,hardcover,read,2024/01/06,2024/01/06,2024/01/03-2024/01/06,1,"",,,,,,,,,"",,"",No
1984,George Orwell,"",9781925410174,digital,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
Firekeeper's Daughter,Angeline Boulley,"",9781250766564,hardcover,to-read,2023/08/22,"","",0,"",,,,,,,,,"",,"",No
Foster,Claire Keegan,"",9780571255658,paperback,read,2023/08/09,2023/08/18,2023/08/18-2023/08/18,1,"",,,,,,,,,"",,"",No
Alone With You in the Ether,Olivie Blake,"",9798655480407,paperback,read,2023/08/09,2023/09/24,2023/09/08-2023/09/24,1,"",,,,,,,,,"",,"",No
Tuff,Paul Beatty,"",9780385721110,paperback,to-read,2021/09/29,"","",0,"",,,,,,,,,"",,"",No
Station Eleven,Emily St. John Mandel,"",9780385353304,hardcover,read,2023/03/08,2024/09/26,"2024/09/14-2024/09/26, 2023/03/16-2023/03/24",2,"",,,,,,,,,"",,"",No
"Cane, Corn & Gully",Safiyah Kamaria Kinshasa,"",9781739902155,digital,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
A Wizard of Earthsea,Ursula K. Le Guin,"",9780553383041,paperback,to-read,2023/09/09,"","",0,"",,,,,,,,,"",,"",No
"The Disordered Cosmos: A Journey Into Dark Matter, Spacetime, and Dreams Deferred",Chanda Prescod-Weinstein,"",9781541724709,hardcover,to-read,2021/09/29,"","",0,"",,,,,,,,,"",,"",No
Cursed Bunny,Bora Chung,Anton Hur (Translator),9781916277182,paperback,to-read,2022/06/26,"","",0,"",,,,,,,,,"",,"",No
The Cartographers,Peng Shepherd,"",9780062910691,hardcover,to-read,2022/05/08,"","",0,"",,,,,,,,,"",,"",No
Shadow and Bone,Leigh Bardugo,Lauren Fortgang (Narrator),B00AFYF5T2,audio,read,2021/03/16,"","",1,"",,,,,,,2.0,,"",,"",No
Where the Crawdads Sing,Delia Owens,"",9780735219113,digital,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
Little Women,Louisa May Alcott,Susan Straight (Contributor),9780451529305,paperback,to-read,2023/11/04,"","",0,"",,,,,,,,,"",,"",No
The Disappearance of Rituals: A Topology of the Present,Byung-Chul Han,Daniel Steuer (Translator),9781509542758,hardcover,to-read,2025/03/31,"","",0,"",,,,,,,,,"",,"",No
It's Kind of a Funny Story,Ned Vizzini,"",9780786851973,paperback,to-read,2023/11/06,"","",0,"",,,,,,,,,"",,"",No
"If This Isn't Nice, What Is?: Advice for the Young",Kurt Vonnegut,"Kevin T. Collins, Scott Brick",9781480537378,audio,to-read,2022/01/09,"","",0,"",,,,,,,,,"",,"",No
"SuperBetter: A Revolutionary Approach to Getting Stronger, Happier, Braver and More Resilient - Powered by the Science of Games",Jane McGonigal,"",9781611764321,audio,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Greek Lessons,Han Kang,"Deborah Smith (Translator), e. yaewon (Translator)",9780241600276,hardcover,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
Bloom - Part II,Kevin Panetta,Savanna Ganucheau (Illustrator),"",paperback,to-read,2024/04/23,"","",0,"",,,,,,,,,"",,"",No
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"",9781571313355,hardcover,to-read,2023/03/09,"","",0,"",,,,,,,,,"",,"",No
The Dark Forest,Cixin Liu,Joel Martinsen (Translator),9781784971601,hardcover,read,2023/12/09,2024/03/20,2024/03/18-2024/03/20,1,"dark, tense, mysterious, emotional, challenging, hopeful, adventurous",medium,Plot,"","","","",5.0,<div>WAHHHHHHHH</div>,"","","",No
Heartstopper Volume 3,Alice Oseman,"",9781444952773,paperback,read,2021/03/16,"","",1,"",,,,,,,3.0,,"",,"",No
You Are Not a Gadget,Jaron Lanier,"",9780307269645,hardcover,read,2024/06/21,2024/06/21,2024/05/05-2024/06/21,1,"informative, reflective, challenging",medium,,,,,,4.0,<div>phenotropic computing</div>,"","","",No
The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"",9780525555216,hardcover,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
The Graveyard Book,Neil Gaiman,Dave McKean (Illustrator),9780060530921,hardcover,read,2021/05/16,"","",1,"",,,,,,,4.0,,"",,"",No
Hidden Potential: The Science of Achieving Greater Things,Adam M. Grant,"",9780593653142,hardcover,to-read,2023/11/28,"","",0,"",,,,,,,,,"",,"",No
The Idiot,Elif Batuman,"",9781594205613,hardcover,read,2023/08/05,2023/08/05,2023/07/05-2023/08/05,1,"",,,,,,,,,"",,"",No
Fruit of the Dead,Rachel Lyon,"",9781668020852,hardcover,to-read,2024/11/21,"","",0,"",,,,,,,,,"",,"",No
The Room: A Novel by Jonas Karlsson,"Jonas Karlsson, Jonas Karlsson","","",audio,read,2025/04/02,2025/04/02,2025/03/27-2025/04/02,1,"",,,,,,,,,"",,"",No
Exciting Times,Naoise Dolan,"",9780062968746,hardcover,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
Either/Or,Elif Batuman,"",9780525557593,hardcover,read,2023/08/05,2024/08/04,2024/05/10-2024/08/04,1,"mysterious, informative, challenging, hopeful",slow,Character,Yes,Yes,Yes,No,5.0,<div>I love this book&nbsp;</div>,"","","",No
Prophet Song,Paul Lynch,"",9780861546459,hardcover,to-read,2023/12/28,"","",0,"",,,,,,,,,"",,"",No
The Bell Jar,Sylvia Plath,"",0061148512,paperback,to-read,2023/02/13,"","",0,"",,,,,,,,,"",,"",No
The Maltese Falcon,Dashiell Hammett,"",9780752865331,paperback,to-read,2022/02/15,"","",0,"",,,,,,,,,"",,"",No
An Ember in the Ashes,Sabaa Tahir,"",0698176464,digital,read,2023/11/04,2024/08/02,2024/08/01-2024/08/02,1,"",,"","","","","",2.0,<div>I want to keep reading the series so the time I spent reading this is not meaningless but that’s the only reason</div>,"","","",No
Mammoths at the Gates,Nghi Vo,"",9781250851437,hardcover,to-read,2024/08/01,"","",0,"",,,,,,,,,"",,"",No
Design for Belonging: How to Build Inclusion and Collaboration in Your Communities (Stanford d.school Library),"Susie Wise, Stanford d.school","",9781984858030,paperback,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
Demon Copperhead,Barbara Kingsolver,"",9780063251922,hardcover,to-read,2023/08/09,"","",0,"",,,,,,,,,"",,"",No
"My Sister, the Serial Killer",Oyinkan Braithwaite,"",9780385544238,hardcover,to-read,2022/06/26,"","",0,"",,,,,,,,,"",,"",No
This is Your Brain on Anxiety; What Happens and What Helps,Faith G. Harper,"",9781538586563,paperback,read,2024/10/20,2024/10/20,2024/10/20-2024/10/20,1,"",,,,,,,,,"",,"",No
Heartstopper Volume 2,Alice Oseman,"",9781444951400,paperback,read,2021/03/16,"","",1,"",,,,,,,3.0,,"",,"",No
All the Light We Cannot See,Anthony Doerr,"",9781476746586,hardcover,to-read,2023/11/25,"","",0,"",,,,,,,,,"",,"",No
A Closed and Common Orbit,Becky Chambers,"",9781473621442,hardcover,read,2024/01/09,2024/01/09,2024/01/02-2024/01/09,1,"",,,,,,,,,"",,"",No
And Then There Were None,Agatha Christie,"",9780312330873,paperback,read,2021/03/16,"","",1,"",,,,,,,4.0,,"",,"",No
Akata Witch,Nnedi Okorafor,"",9780670011964,hardcover,to-read,2022/01/04,"","",0,"",,,,,,,,,"",,"",No
Tender Is the Flesh,Agustina Bazterrica,Sarah Moses (Translator),9781982150921,paperback,to-read,2024/12/15,"","",0,"",,,,,,,,,"",,"",No
Flight to Arras,Antoine de Saint-Exupéry,Lewis Galantière (Translator),9780156318808,paperback,to-read,2024/08/20,"","",0,"",,,,,,,,,"",,"",No
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,"",9781442408920,hardcover,read,2024/06/03,2024/06/03,2024/06/02-2024/06/03,1,"",,,,,,,,,"",,"",No
Wandering Stars,Tommy Orange,"",9780593318256,hardcover,to-read,2024/07/30,"","",0,"",,,,,,,,,"",,"",No
A Visit from the Goon Squad,Jennifer Egan,"",9780307477477,paperback,to-read,2024/01/15,"","",0,"",,,,,,,,,"",,"",No
Great Circle,Maggie Shipstead,"",9780525656975,hardcover,to-read,2024/01/06,"","",0,"",,,,,,,,,"",,"",No
The Death of Vivek Oji,Akwaeke Emezi,"",9780525541608,hardcover,to-read,2022/07/29,"","",0,"",,,,,,,,,"",,"",No
Tom Lake,Ann Patchett,"",9780063327528,hardcover,to-read,2024/10/12,"","",0,"",,,,,,,,,"",,"",No
101 Essays That Will Change the Way You Think,Brianna Wiest,"",B01MYMUGQL,digital,read,2023/07/10,2023/07/10,2023/01/10-2023/07/10,1,"",,,,,,,,,"",,"",No
The Humans,Matt Haig,"",9781476727912,hardcover,read,2024/03/10,2025/03/11,2025/03/05-2025/03/11,1,"",,,,,,,,,"",,"",No
"Brilliant, Brilliant, Brilliant Brilliant Brilliant",Joel Golby,"",9780525562771,paperback,to-read,2022/12/23,"","",0,"",,,,,,,,,"",,"",No
Honeycomb,Joanne M. Harris,Charles Vess (Illustrator),9781534433052,hardcover,to-read,2021/12/27,"","",0,"",,,,,,,,,"",,"",No
It Ends with Us,Colleen Hoover,"",9781501110368,paperback,to-read,2022/08/08,"","",0,"",,,,,,,,,"",,"",No
Aristotle and Dante Dive Into the Waters of the World,Benjamin Alire Sáenz,"",9781398505278,paperback,to-read,2024/06/03,"","",0,"",,,,,,,,,"",,"",No
Hamnet,Maggie O'Farrell,"",9781472223791,hardcover,to-read,2022/02/17,"","",0,"",,,,,,,,,"",,"",No
The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"",B005SCSCAU,digital,to-read,2021/03/22,"","",0,"",,,,,,,,,"",,"",No
Shark Heart: A Love Story,Emily Habeck,"",9781668006511,digital,to-read,2023/08/11,"","",0,"",,,,,,,,,"",,"",No
Confessions,Kanae Minato,Stephen Snyder (Translator),9780316200929,paperback,to-read,2023/08/01,"","",0,"",,,,,,,,,"",,"",No
The Postman Always Rings Twice,James M. Cain,"",9780752861746,hardcover,to-read,2024/04/07,"","",0,"",,,,,,,,,"",,"",No
Visualizing Complexity: Elements of Information Design,"Nicole Lachenmeier, Darjan Hil","",9783035625042,paperback,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
Half a Soul,Olivia Atwater,"",B086825NZ3,digital,read,2024/12/11,2025/02/15,2025/02/05-2025/02/15,1,"",,,,,,,,,"",,"",No
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"",9781400032716,paperback,read,2022/01/05,"","",1,"",,,,,,,,,"",,"",No
The Silent Patient,Alex Michaelides,"",9781250301697,hardcover,read,2022/01/08,2024/07/16,2024/07/16-2024/07/16,1,"",,,,,,,,,"",,"",No
The Cat Who Saved Books,Sōsuke Natsukawa,Louise Heal Kawai (Translator),9780063095748,digital,read,2023/08/17,2023/10/28,2023/09/01-2023/10/28,1,"relaxing, reflective, hopeful, adventurous",medium,A mix,Yes,Yes,Yes,No,4.5,<div>Hopeful and real. You can’t solve life’s problems but you can be brave and drink nice tea while riding a boom.</div>,"","","",No
The Obstacle Is the Way: The Timeless Art of Turning Trials Into Triumph,Ryan Holiday,"",9781591846352,hardcover,to-read,2022/07/04,"","",0,"",,,,,,,,,"",,"",No
Diary of a Void,Emi Yagi,"David Boyd (Translator), Lucy North (Translator)",9780143136873,hardcover,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
Radiance,Catherynne M. Valente,"",9781466821484,paperback,to-read,2022/01/04,"","",0,"",,,,,,,,,"",,"",No
The Martian Chronicles,Ray Bradbury,"",9780553278224,paperback,to-read,2025/03/22,"","",0,"",,,,,,,,,"",,"",No
You Made a Fool of Death with Your Beauty,Akwaeke Emezi,"",9781982188702,hardcover,to-read,2025/05/18,"","",0,"",,,,,,,,,"",,"",No
"Attack on Titan, Volume 1",Hajime Isayama,"",9781612620244,paperback,to-read,2021/03/16,"","",0,"",,,,,,,,,"",,"",No
People We Meet on Vacation,Emily Henry,"",9781984806758,paperback,read,2024/07/11,2024/07/11,2024/06/11-2024/07/11,1,"",,,,,,,,,"",,"",No
Loveless,Alice Oseman,"",9780008244125,paperback,read,2022/02/02,2022/12/28,2022/02/17-2022/12/28,1,"",,,,,,,,,"",,"",No
The Brides of High Hill,Nghi Vo,"",9781250851444,hardcover,to-read,2024/08/01,"","",0,"",,,,,,,,,"",,"",No
Water Moon,Samantha Sotto Yambao,"",9780593724996,hardcover,to-read,2025/04/12,"","",0,"",,,,,,,,,"",,"",No
I Have No Mouth and I Must Scream,Harlan Ellison,Theodore Sturgeon,9780441363957,paperback,to-read,2024/05/09,"","",0,"",,,,,,,,,"",,"",No
When the Tiger Came Down the Mountain,Nghi Vo,"",9781250786166,digital,to-read,2024/08/01,"","",0,"",,,,,,,,,"",,"",No
The Dream Thieves,Maggie Stiefvater,"",9780545424943,hardcover,read,2022/08/02,2022/08/06,2022/08/02-2022/08/06,1,"",,,,,,,,,"",,"",No
Grit: The Power of Passion and Perseverance,Angela Duckworth,"",9781443442312,hardcover,to-read,2022/08/12,"","",0,"",,,,,,,,,"",,"",No
